,,Vteam,,Hteam,,,,
Sat Apr 14 2018,3:00 PM,San Antonio Spurs,92,Golden State Warriors,113,Box Score,,19596
Sat Apr 14 2018,8:00 PM,Miami Heat,103,Philadelphia 76ers,130,Box Score,,20617
Sat Apr 14 2018,10:30 PM,New Orleans Pelicans,97,Portland Trail Blazers,95,Box Score,,19882
Sat Apr 14 2018,5:30 PM,Washington Wizards,106,Toronto Raptors,114,Box Score,,19937
Sun Apr 15 2018,1:00 PM,Milwaukee Bucks,107,Boston Celtics,113,Box Score,OT,18624
Sun Apr 15 2018,3:30 PM,Indiana Pacers,98,Cleveland Cavaliers,80,Box Score,,20562
Sun Apr 15 2018,9:00 PM,Minnesota Timberwolves,101,Houston Rockets,104,Box Score,,18055
Sun Apr 15 2018,6:30 PM,Utah Jazz,108,Oklahoma City Thunder,116,Box Score,,18203
Mon Apr 16 2018,10:30 PM,San Antonio Spurs,101,Golden State Warriors,116,Box Score,,19596
Mon Apr 16 2018,8:00 PM,Miami Heat,113,Philadelphia 76ers,103,Box Score,,20753
Tue Apr 17 2018,8:00 PM,Milwaukee Bucks,106,Boston Celtics,120,Box Score,,18624
Tue Apr 17 2018,10:30 PM,New Orleans Pelicans,111,Portland Trail Blazers,102,Box Score,,20066
Tue Apr 17 2018,7:00 PM,Washington Wizards,119,Toronto Raptors,130,Box Score,,20242
Wed Apr 18 2018,7:00 PM,Indiana Pacers,97,Cleveland Cavaliers,100,Box Score,,20562
Wed Apr 18 2018,9:30 PM,Minnesota Timberwolves,82,Houston Rockets,102,Box Score,,18055
Wed Apr 18 2018,8:00 PM,Utah Jazz,102,Oklahoma City Thunder,95,Box Score,,18203
Thu Apr 19 2018,7:00 PM,Philadelphia 76ers,128,Miami Heat,108,Box Score,,19812
Thu Apr 19 2018,9:00 PM,Portland Trail Blazers,102,New Orleans Pelicans,119,Box Score,,18551
Thu Apr 19 2018,9:30 PM,Golden State Warriors,110,San Antonio Spurs,97,Box Score,,18418
Fri Apr 20 2018,7:00 PM,Cleveland Cavaliers,90,Indiana Pacers,92,Box Score,,17923
Fri Apr 20 2018,9:30 PM,Boston Celtics,92,Milwaukee Bucks,116,Box Score,,18717
Fri Apr 20 2018,8:00 PM,Toronto Raptors,103,Washington Wizards,122,Box Score,,20356
Sat Apr 21 2018,2:30 PM,Philadelphia 76ers,106,Miami Heat,102,Box Score,,19804
Sat Apr 21 2018,7:30 PM,Houston Rockets,105,Minnesota Timberwolves,121,Box Score,,18978
Sat Apr 21 2018,5:00 PM,Portland Trail Blazers,123,New Orleans Pelicans,131,Box Score,,18544
Sat Apr 21 2018,10:00 PM,Oklahoma City Thunder,102,Utah Jazz,115,Box Score,,18306
Sun Apr 22 2018,8:30 PM,Cleveland Cavaliers,104,Indiana Pacers,100,Box Score,,17923
Sun Apr 22 2018,1:00 PM,Boston Celtics,102,Milwaukee Bucks,104,Box Score,,18717
Sun Apr 22 2018,3:30 PM,Golden State Warriors,90,San Antonio Spurs,103,Box Score,,18418
Sun Apr 22 2018,6:00 PM,Toronto Raptors,98,Washington Wizards,106,Box Score,,20356
Mon Apr 23 2018,8:00 PM,Houston Rockets,119,Minnesota Timberwolves,100,Box Score,,18978
Mon Apr 23 2018,10:30 PM,Oklahoma City Thunder,96,Utah Jazz,113,Box Score,,18306
Tue Apr 24 2018,7:00 PM,Milwaukee Bucks,87,Boston Celtics,92,Box Score,,18624
Tue Apr 24 2018,10:30 PM,San Antonio Spurs,91,Golden State Warriors,99,Box Score,,19596
Tue Apr 24 2018,8:00 PM,Miami Heat,91,Philadelphia 76ers,104,Box Score,,21171
Wed Apr 25 2018,7:00 PM,Indiana Pacers,95,Cleveland Cavaliers,98,Box Score,,20562
Wed Apr 25 2018,9:30 PM,Minnesota Timberwolves,104,Houston Rockets,122,Box Score,,18055
Wed Apr 25 2018,9:30 PM,Utah Jazz,99,Oklahoma City Thunder,107,Box Score,,18203
Wed Apr 25 2018,7:00 PM,Washington Wizards,98,Toronto Raptors,108,Box Score,,19987
Thu Apr 26 2018,8:00 PM,Boston Celtics,86,Milwaukee Bucks,97,Box Score,,18717
Fri Apr 27 2018,8:00 PM,Cleveland Cavaliers,87,Indiana Pacers,121,Box Score,,17923
Fri Apr 27 2018,10:30 PM,Oklahoma City Thunder,91,Utah Jazz,96,Box Score,,18306
Fri Apr 27 2018,7:00 PM,Toronto Raptors,102,Washington Wizards,92,Box Score,,20356
Sat Apr 28 2018,8:00 PM,Milwaukee Bucks,96,Boston Celtics,112,Box Score,,18624
Sat Apr 28 2018,10:30 PM,New Orleans Pelicans,101,Golden State Warriors,123,Box Score,,19596
Sun Apr 29 2018,1:00 PM,Indiana Pacers,101,Cleveland Cavaliers,105,Box Score,,20562
Sun Apr 29 2018,3:30 PM,Utah Jazz,96,Houston Rockets,110,Box Score,,18055
Mon Apr 30 2018,8:00 PM,Philadelphia 76ers,101,Boston Celtics,117,Box Score,,18624
Tue May 1 2018,10:30 PM,New Orleans Pelicans,116,Golden State Warriors,121,Box Score,,19596
Wed May 2 2018,8:00 PM,Utah Jazz,,Houston Rockets,,,,
