Date,Visitor/Neutral,PTS,Home/Neutral,PTS,WLoc,WTeam,LTeam
Tue Oct 17 2017,Boston Celtics,99,Cleveland Cavaliers,102,H,Cleveland Cavaliers,Boston Celtics
Tue Oct 17 2017,Houston Rockets,122,Golden State Warriors,121,V,Houston Rockets,Golden State Warriors
Wed Oct 18 2017,Milwaukee Bucks,108,Boston Celtics,100,V,Milwaukee Bucks,Boston Celtics
Wed Oct 18 2017,Atlanta Hawks,117,Dallas Mavericks,111,V,Atlanta Hawks,Dallas Mavericks
Wed Oct 18 2017,Charlotte Hornets,90,Detroit Pistons,102,H,Detroit Pistons,Charlotte Hornets
Wed Oct 18 2017,Brooklyn Nets,131,Indiana Pacers,140,H,Indiana Pacers,Brooklyn Nets
Wed Oct 18 2017,New Orleans Pelicans,91,Memphis Grizzlies,103,H,Memphis Grizzlies,New Orleans Pelicans
Wed Oct 18 2017,Miami Heat,109,Orlando Magic,116,H,Orlando Magic,Miami Heat
Wed Oct 18 2017,Portland Trail Blazers,124,Phoenix Suns,76,V,Portland Trail Blazers,Phoenix Suns
Wed Oct 18 2017,Houston Rockets,105,Sacramento Kings,100,V,Houston Rockets,Sacramento Kings
Wed Oct 18 2017,Minnesota Timberwolves,99,San Antonio Spurs,107,H,San Antonio Spurs,Minnesota Timberwolves
Wed Oct 18 2017,Denver Nuggets,96,Utah Jazz,106,H,Utah Jazz,Denver Nuggets
Wed Oct 18 2017,Philadelphia 76ers,115,Washington Wizards,120,H,Washington Wizards,Philadelphia 76ers
Thu Oct 19 2017,Los Angeles Clippers,108,Los Angeles Lakers,92,V,Los Angeles Clippers,Los Angeles Lakers
Thu Oct 19 2017,New York Knicks,84,Oklahoma City Thunder,105,H,Oklahoma City Thunder,New York Knicks
Thu Oct 19 2017,Chicago Bulls,100,Toronto Raptors,117,H,Toronto Raptors,Chicago Bulls
Fri Oct 20 2017,Orlando Magic,121,Brooklyn Nets,126,H,Brooklyn Nets,Orlando Magic
Fri Oct 20 2017,Atlanta Hawks,91,Charlotte Hornets,109,H,Charlotte Hornets,Atlanta Hawks
Fri Oct 20 2017,Sacramento Kings,93,Dallas Mavericks,88,V,Sacramento Kings,Dallas Mavericks
Fri Oct 20 2017,Portland Trail Blazers,114,Indiana Pacers,96,V,Portland Trail Blazers,Indiana Pacers
Fri Oct 20 2017,Cleveland Cavaliers,116,Milwaukee Bucks,97,V,Cleveland Cavaliers,Milwaukee Bucks
Fri Oct 20 2017,Utah Jazz,97,Minnesota Timberwolves,100,H,Minnesota Timberwolves,Utah Jazz
Fri Oct 20 2017,Golden State Warriors,128,New Orleans Pelicans,120,V,Golden State Warriors,New Orleans Pelicans
Fri Oct 20 2017,Boston Celtics,102,Philadelphia 76ers,92,V,Boston Celtics,Philadelphia 76ers
Fri Oct 20 2017,Los Angeles Lakers,132,Phoenix Suns,130,V,Los Angeles Lakers,Phoenix Suns
Fri Oct 20 2017,Detroit Pistons,111,Washington Wizards,115,H,Washington Wizards,Detroit Pistons
Sat Oct 21 2017,San Antonio Spurs,87,Chicago Bulls,77,V,San Antonio Spurs,Chicago Bulls
